iso3166-alpha-3,name
PSE,"Israel and Palestine, State of"
ISR,"Israel and Palestine, State of"
TZA,Tanzania
USA,United States
SDN,Sudan and South Sudan
RUS,Russia
FLK,Falkland Islands
BOL,Bolivia
VEN,Venezuela
CIV,Côte d’Ivoire
SWZ,Eswatini
GMB,The Gambia
LAO,Laos
MMR,Myanmar/Burma
VNM,Vietnam
PRK,North Korea
KOR,South Korea
IRN,Iran
SYR,Syria
MDA,Moldova
CHE,Switzerland and Liechtenstein
ESP,Spain and Andorra
ITA,"Italy, San Marino and the Holy See"
GBR,United Kingdom
BRN,Brunei
MKD,North Macedonia
SRB,Serbia and Montenegro
MNE,Serbia and Montenegro
SSD,Sudan and South Sudan
FRA,France and Monaco
TWN,Taiwan
